Unnamed: 0,daily_screen_time,app_sessions,social_media_usage,gaming_time,notifications,night_usage,age,work_study_hours,stress_level,apps_installed,addicted
3267,4,27,0,2,54,1,42,4,3,17,not addicted
3268,3,28,0,0,51,0,23,3,2,19,not addicted
3269,8,29,1,2,56,1,51,2,5,23,not addicted
3270,6,12,0,1,51,0,46,4,4,22,not addicted
3271,10,40,3,0,75,2,31,5,7,27,addicted
3272,10,20,1,0,36,0,25,9,6,27,not addicted
3273,11,39,2,1,71,1,30,7,7,24,addicted
3274,9,35,2,0,83,0,32,7,6,34,addicted
3275,3,28,1,1,62,3,38,4,2,25,addicted
3276,8,22,0,2,58,1,30,7,5,25,not addicted
3277,4,32,3,1,61,1,22,2,3,24,addicted
3278,2,21,1,0,63,0,48,6,1,29,not addicted
3279,3,29,1,1,63,0,30,8,2,25,not addicted
3280,4,22,1,2,49,0,33,5,3,29,not addicted
3281,6,29,0,2,78,0,42,4,4,29,addicted
3282,3,23,0,1,71,0,18,7,3,24,addicted
3283,6,29,1,2,57,1,23,6,4,20,not addicted
3284,11,33,2,3,78,0,18,7,8,31,addicted
3285,8,26,0,0,52,0,43,7,5,31,not addicted
3286,7,27,2,1,54,0,27,6,5,35,not addicted
3287,7,24,4,2,82,3,31,3,5,27,addicted
3288,2,25,1,0,45,0,52,6,1,28,not addicted
3289,6,24,4,1,52,0,52,5,4,28,not addicted
3290,3,29,2,2,56,0,21,9,1,22,not addicted
3291,10,39,3,2,68,3,43,5,7,30,addicted
3292,2,24,0,1,52,2,42,6,0,24,not addicted
3293,4,21,2,0,41,0,47,7,3,22,not addicted
3294,2,32,0,0,49,1,40,7,1,30,not addicted
3295,2,23,2,0,43,0,28,9,1,32,not addicted
3296,2,27,1,1,50,0,48,12,0,20,not addicted
3297,5,37,3,2,85,2,25,5,4,31,addicted
3298,7,26,2,2,68,0,18,4,5,31,addicted
3299,5,26,2,1,46,0,47,10,3,28,not addicted
3300,6,17,1,0,67,1,24,4,4,20,not addicted
3301,11,45,3,1,59,0,15,6,8,20,addicted
3302,2,30,2,0,60,0,24,10,1,27,not addicted
3303,11,37,0,1,68,0,18,10,8,21,addicted
3304,3,24,2,1,51,1,35,8,2,26,not addicted
3305,12,35,2,1,80,3,22,3,8,17,addicted
3306,6,28,1,2,54,1,24,5,4,32,not addicted
3307,8,45,5,0,57,2,30,6,5,36,addicted
3308,5,28,2,2,75,1,15,6,3,31,addicted
3309,3,25,1,0,48,0,36,3,2,25,not addicted
3310,1,17,0,2,50,0,33,6,0,18,not addicted
3311,5,33,3,1,63,3,27,3,3,39,addicted
3312,8,27,0,1,59,0,50,7,5,20,not addicted
3313,5,41,4,2,68,3,35,8,4,36,addicted
3314,4,18,3,1,49,0,53,3,3,26,not addicted
3315,5,23,2,0,40,0,49,7,3,20,not addicted
3316,2,21,1,1,58,0,40,11,1,30,not addicted
3317,10,28,4,2,93,2,19,5,7,31,addicted
3318,2,21,1,0,38,0,31,6,0,21,not addicted
3319,2,28,1,1,50,2,52,5,0,21,not addicted
3320,9,37,2,0,71,1,38,5,6,26,addicted
3321,4,45,1,1,92,0,44,6,3,26,addicted
3322,7,25,1,0,56,0,43,5,5,32,not addicted
3323,9,31,2,2,73,2,34,7,6,39,addicted
3324,11,34,1,3,74,0,19,7,7,39,addicted
3325,5,20,1,0,60,0,32,7,3,29,not addicted
3326,3,38,2,1,59,0,43,5,2,23,not addicted
3327,10,27,3,1,71,2,29,7,7,31,addicted
3328,10,39,2,4,78,3,41,5,7,32,addicted
3329,6,39,1,1,59,3,25,2,4,34,addicted
3330,5,43,0,1,62,2,36,4,3,42,addicted
3331,4,18,2,1,56,1,23,7,3,26,not addicted
3332,10,28,4,3,78,2,17,6,6,41,addicted
3333,10,18,1,0,53,1,23,6,6,28,not addicted
3334,8,37,2,1,68,1,19,6,5,29,addicted
3335,10,33,2,2,72,2,44,7,7,22,addicted
3336,7,50,2,2,70,2,23,6,5,31,addicted
3337,6,22,1,0,44,2,31,4,4,33,not addicted
3338,3,28,1,0,55,1,42,7,2,35,not addicted
3339,10,27,2,1,49,1,48,8,6,17,not addicted
3340,10,33,2,1,39,0,48,10,6,27,not addicted
3341,10,29,3,2,72,2,28,4,7,21,addicted
3342,5,32,0,2,69,0,37,4,4,32,addicted
3343,10,51,4,1,70,1,19,4,6,27,addicted
3344,11,32,3,2,75,0,29,5,8,28,addicted
3345,12,36,2,2,65,1,40,5,8,38,addicted
3346,1,24,0,0,57,0,48,9,0,33,not addicted
3347,11,30,3,3,58,0,44,5,7,30,addicted
3348,10,15,2,0,48,1,54,8,6,15,not addicted
3349,2,22,2,0,48,2,53,4,1,18,not addicted
3350,3,23,1,0,57,2,36,6,2,21,not addicted
3351,6,39,1,2,58,0,20,4,4,24,addicted
3352,12,34,1,0,75,1,34,3,9,30,addicted
3353,11,26,1,0,74,3,44,5,7,30,addicted
3354,4,26,2,1,47,1,19,6,3,23,not addicted
3355,7,23,2,1,50,0,38,5,5,19,not addicted
3356,8,40,3,0,69,3,37,6,5,30,addicted
3357,3,23,0,0,38,0,26,8,3,29,not addicted
3358,12,37,4,0,72,1,35,5,8,28,addicted
3359,9,28,1,0,35,0,49,8,6,28,not addicted
3360,11,32,2,2,59,2,31,4,8,28,addicted
3361,9,30,1,2,87,3,24,2,6,37,addicted
3362,4,20,3,1,49,0,50,7,3,26,not addicted
3363,9,28,2,3,42,0,27,8,6,20,not addicted
3364,2,20,1,1,59,1,36,5,1,25,not addicted
3365,10,42,0,2,81,1,32,6,6,33,addicted
3366,2,30,2,1,46,0,32,6,1,26,not addicted
3367,11,26,4,0,84,1,41,3,7,23,addicted
3368,6,24,0,1,35,1,47,3,4,32,not addicted
3369,6,31,1,1,52,2,22,8,4,22,not addicted
3370,8,38,2,3,51,1,34,3,5,29,addicted
3371,9,33,2,0,65,0,29,6,6,24,addicted
3372,5,26,1,1,46,1,35,4,3,24,not addicted
3373,8,37,3,0,60,1,17,6,5,25,addicted
3374,4,30,2,1,52,2,43,9,3,24,not addicted
3375,5,38,1,2,65,3,25,6,4,34,addicted
3376,7,20,1,1,53,2,36,4,5,29,not addicted
3377,1,21,2,0,47,1,30,7,0,22,not addicted
3378,12,26,4,0,66,0,20,4,8,30,addicted
3379,3,26,2,2,48,2,53,5,2,24,not addicted
3380,11,35,2,1,80,1,23,8,7,24,addicted
3381,12,37,1,4,66,1,40,6,8,38,addicted
3382,11,40,0,3,70,2,35,5,7,24,addicted
3383,10,33,2,1,48,0,25,7,6,24,not addicted
3384,5,36,1,2,70,1,30,3,3,34,addicted
3385,7,23,1,0,46,1,24,8,5,28,not addicted
3386,4,39,3,2,59,1,16,2,3,23,addicted
3387,9,35,2,3,77,0,18,6,6,36,addicted
3388,10,19,1,0,51,0,28,6,6,30,not addicted
3389,12,29,4,3,65,2,38,5,8,31,addicted
3390,7,29,1,2,57,2,36,6,5,21,not addicted
3391,7,27,2,0,33,1,23,7,5,28,not addicted
3392,6,36,2,0,80,0,35,8,4,34,addicted
3393,2,39,4,1,82,4,44,3,1,29,addicted
3394,4,21,0,1,56,1,23,7,2,16,not addicted
3395,5,30,1,0,55,1,52,5,4,30,not addicted
3396,10,21,0,0,68,2,47,11,6,29,not addicted
3397,7,47,1,0,78,0,38,3,4,32,addicted
3398,3,26,2,0,56,1,38,8,1,28,not addicted
3399,9,30,2,3,74,2,29,8,6,32,addicted
3400,2,21,0,0,48,0,50,5,0,21,not addicted
3401,12,34,3,0,61,1,36,3,8,39,addicted
3402,11,39,0,1,60,3,32,6,7,40,addicted
3403,8,27,1,4,57,1,35,7,5,30,not addicted
3404,11,33,2,3,70,1,42,8,7,23,addicted
3405,7,35,6,0,82,1,43,2,5,43,addicted
3406,10,23,0,0,44,1,36,6,6,23,not addicted
3407,3,26,1,1,43,0,26,4,2,24,not addicted
3408,2,22,1,1,48,0,28,6,1,24,not addicted
3409,2,22,1,0,62,0,23,7,0,24,not addicted
3410,7,32,3,0,68,0,17,4,5,35,addicted
3411,9,30,2,2,74,1,25,8,6,30,addicted
3412,5,28,2,2,80,0,32,6,3,27,addicted
3413,7,26,2,0,44,0,35,11,5,19,not addicted
3414,7,48,2,2,76,1,16,8,5,32,addicted
3415,7,20,0,0,41,0,35,5,5,28,not addicted
3416,11,34,1,0,71,1,32,5,7,33,addicted
3417,3,32,3,0,72,1,26,6,2,26,addicted
3418,7,29,1,2,45,1,41,8,5,21,not addicted
3419,4,26,2,0,60,0,40,6,3,25,not addicted
3420,3,18,1,0,59,1,26,9,2,27,not addicted
3421,2,22,2,2,50,1,44,7,1,18,not addicted
3422,5,36,5,0,64,2,41,3,3,20,addicted
3423,3,29,2,2,47,0,40,6,2,18,not addicted
3424,3,42,2,0,85,2,23,3,2,31,addicted
3425,8,17,0,2,61,1,45,7,5,26,not addicted
3426,6,34,3,0,54,0,44,7,4,23,not addicted
3427,11,33,4,0,73,1,16,3,7,37,addicted
3428,10,19,3,0,49,1,51,5,6,19,not addicted
3429,6,43,0,2,61,0,34,6,4,25,addicted
3430,2,29,0,0,36,0,41,6,0,31,not addicted
3431,10,27,3,0,54,1,28,7,6,22,not addicted
3432,6,18,0,0,62,2,24,10,4,27,not addicted
3433,1,25,1,2,45,1,32,5,0,30,not addicted
3434,11,34,4,2,77,1,23,7,7,31,addicted
3435,12,33,3,3,77,2,16,7,8,31,addicted
3436,2,31,0,1,40,0,52,5,0,21,not addicted
3437,3,21,0,1,59,0,42,6,2,28,not addicted
3438,5,35,4,0,77,3,20,4,4,38,addicted
3439,12,34,3,2,60,0,15,7,8,38,addicted
3440,12,38,1,1,86,2,40,5,8,26,addicted
3441,3,25,1,0,42,0,38,8,2,29,not addicted
3442,9,35,2,3,86,2,41,7,6,29,addicted
3443,5,23,2,0,50,1,37,6,3,24,not addicted
3444,2,15,0,0,51,0,22,10,0,24,not addicted
3445,4,33,0,1,53,0,29,7,3,24,not addicted
3446,4,25,3,1,60,0,30,6,3,18,not addicted
3447,1,26,1,1,40,0,50,8,0,24,not addicted
3448,10,24,4,0,64,1,20,8,7,24,addicted
3449,9,35,2,0,78,2,23,8,6,47,addicted
3450,4,21,1,0,46,1,51,3,3,30,not addicted
3451,1,22,0,1,48,2,37,8,0,22,not addicted
3452,8,29,2,0,68,0,29,7,5,27,not addicted
3453,7,31,2,0,50,1,38,8,5,25,not addicted
3454,2,23,0,1,49,0,39,4,2,20,not addicted
3455,3,25,0,0,49,0,51,9,1,29,not addicted
3456,6,29,4,2,77,2,18,8,4,29,addicted
3457,2,25,2,2,67,1,49,6,1,28,not addicted
3458,9,24,0,0,43,0,31,8,6,23,not addicted
3459,2,23,1,0,48,0,37,6,1,20,not addicted
3460,3,43,1,0,40,0,43,5,1,16,not addicted
3461,10,33,3,2,69,3,29,6,6,36,addicted
3462,8,21,2,1,72,0,39,9,5,27,addicted
3463,5,24,0,1,46,0,39,6,3,20,not addicted
3464,2,30,2,1,66,0,27,0,1,27,not addicted
3465,5,31,2,2,66,2,31,5,4,31,addicted
3466,4,37,3,0,78,3,29,6,3,28,addicted
3467,9,35,2,0,74,2,36,6,6,29,addicted
3468,9,35,1,3,63,1,40,4,6,21,addicted
3469,9,36,3,1,77,1,41,7,6,19,addicted
3470,2,26,2,0,56,2,51,7,1,23,not addicted
3471,11,41,1,2,63,1,24,6,7,27,addicted
3472,2,24,1,2,43,0,32,4,1,27,not addicted
3473,3,27,1,0,47,1,21,10,2,20,not addicted
3474,4,31,2,3,69,1,20,4,3,25,addicted
3475,9,21,1,0,44,2,41,5,6,27,not addicted
3476,11,35,2,1,77,0,16,6,7,29,addicted
3477,8,27,0,3,48,0,50,6,6,32,not addicted
3478,2,44,0,2,43,0,30,7,1,11,not addicted
3479,7,31,3,0,77,3,20,6,4,40,addicted
3480,7,31,2,0,74,2,32,4,5,25,addicted
3481,5,23,0,1,44,0,22,6,4,26,not addicted
3482,7,24,3,0,48,2,22,9,5,23,not addicted
3483,11,36,3,0,70,2,25,5,7,31,addicted
3484,4,30,1,1,69,1,43,6,3,37,addicted
3485,1,27,2,0,39,1,38,5,0,17,not addicted
3486,8,45,2,1,66,2,16,4,5,28,addicted
3487,2,29,1,0,53,0,50,5,1,33,not addicted
3488,9,33,0,0,44,1,45,7,6,14,not addicted
3489,10,33,0,3,66,1,19,7,7,19,addicted
3490,3,26,1,1,50,0,37,7,2,30,not addicted
3491,4,34,3,2,72,1,36,6,3,28,addicted
3492,12,31,2,0,92,1,27,7,8,39,addicted
3493,6,34,2,1,63,1,20,5,4,28,addicted
3494,5,20,2,0,68,0,50,6,3,23,not addicted
3495,10,34,1,1,66,1,17,4,6,25,addicted
3496,11,41,1,2,78,3,43,7,7,27,addicted
3497,11,35,2,3,78,1,35,5,7,32,addicted
3498,7,39,1,2,77,1,22,0,5,19,addicted
3499,1,26,2,2,59,0,48,7,0,32,not addicted
3500,12,37,3,1,71,3,29,7,8,19,addicted
3501,5,25,2,1,82,1,34,7,4,25,addicted
3502,9,31,0,0,45,0,41,2,6,24,not addicted
3503,6,17,1,1,52,0,40,1,4,24,not addicted
3504,1,19,2,0,56,2,52,6,0,30,not addicted
3505,5,40,2,2,73,3,41,2,4,29,addicted
3506,6,39,2,2,80,4,20,8,4,29,addicted
3507,3,21,0,2,51,1,42,10,2,24,not addicted
3508,2,27,1,1,50,0,47,4,1,19,not addicted
3509,11,32,1,2,62,1,40,3,8,33,addicted
3510,8,20,1,1,47,1,54,4,5,24,not addicted
3511,1,24,1,1,40,0,38,6,0,32,not addicted
3512,5,30,0,1,51,1,26,7,3,25,not addicted
3513,7,36,2,2,65,1,38,7,5,25,addicted
3514,10,31,3,0,60,1,22,9,6,27,not addicted
3515,2,27,0,1,60,0,21,8,1,29,not addicted
3516,7,41,2,2,68,1,31,4,5,24,addicted
3517,8,33,1,0,58,0,46,3,5,18,not addicted
3518,5,31,1,3,72,2,36,5,3,26,addicted
3519,3,21,2,0,51,0,47,5,2,22,not addicted
3520,6,23,1,0,46,2,37,10,4,25,not addicted
3521,3,22,1,1,52,1,22,7,2,27,not addicted
3522,5,37,3,2,73,3,44,6,4,30,addicted
3523,3,20,2,1,62,0,21,8,1,19,not addicted
3524,11,36,4,4,73,1,25,6,8,27,addicted
3525,2,19,0,1,48,1,48,11,1,23,not addicted
3526,7,27,2,1,34,0,38,3,5,18,not addicted
3527,2,20,0,1,49,1,21,3,0,19,not addicted
3528,12,29,3,4,72,3,39,4,9,34,addicted
3529,7,34,2,0,49,1,43,5,5,24,not addicted
3530,5,26,1,1,48,0,42,6,3,24,not addicted
3531,3,27,1,0,53,1,28,9,1,33,not addicted
3532,8,29,3,2,60,0,32,2,5,33,addicted
3533,5,32,2,0,53,1,35,7,4,27,not addicted
3534,3,35,2,0,47,2,37,5,1,21,not addicted
3535,5,26,1,0,50,3,48,10,3,17,not addicted
3536,2,29,2,0,56,0,45,5,1,19,not addicted
3537,9,26,1,1,54,1,35,10,6,28,not addicted
3538,12,38,2,0,66,2,26,5,9,33,addicted
3539,10,32,0,3,57,1,43,6,7,27,addicted
3540,2,20,1,2,58,0,49,8,0,28,not addicted
3541,12,46,2,1,83,3,43,3,9,34,addicted
3542,12,37,2,1,81,3,39,4,8,37,addicted
3543,11,29,3,0,56,1,26,6,8,32,addicted
3544,5,28,4,2,69,1,44,5,3,37,addicted
3545,2,20,1,1,55,1,52,6,1,29,not addicted
3546,8,35,0,0,58,2,24,6,5,29,addicted
3547,10,29,1,1,55,0,25,9,6,26,not addicted
3548,9,33,4,3,68,0,28,5,6,29,addicted
3549,11,29,2,0,69,0,26,4,7,26,addicted
3550,10,30,0,0,87,3,18,7,7,31,addicted
3551,9,25,2,3,84,3,17,6,6,28,addicted
3552,6,27,1,0,48,0,46,5,4,22,not addicted
3553,12,26,4,1,70,1,34,1,8,24,addicted
3554,7,29,2,2,70,1,34,4,5,33,addicted
3555,9,28,3,1,49,0,36,8,6,32,not addicted
3556,6,28,1,1,46,2,24,6,4,17,not addicted
3557,4,23,1,0,48,1,22,2,3,29,not addicted
3558,6,40,1,0,73,1,44,5,4,19,addicted
3559,9,38,3,0,68,3,17,6,6,21,addicted
3560,6,32,2,1,53,0,19,6,4,16,not addicted
3561,3,21,1,1,56,1,50,7,2,22,not addicted
3562,10,25,1,1,56,2,31,5,7,28,not addicted
3563,7,18,0,0,43,0,29,9,4,29,not addicted
3564,8,14,0,0,50,0,33,6,5,29,not addicted
3565,1,29,1,0,55,1,38,2,0,26,not addicted
3566,12,32,2,1,86,2,23,8,8,31,addicted
3567,3,20,0,1,40,0,33,8,2,16,not addicted
3568,6,28,1,0,53,1,41,8,4,29,not addicted
3569,10,31,2,1,83,1,26,9,6,41,addicted
3570,9,26,0,0,52,0,51,5,6,24,not addicted
3571,8,25,1,0,53,0,38,7,5,24,not addicted
3572,9,29,2,1,65,0,27,2,6,36,addicted
3573,4,26,1,0,34,1,33,5,3,25,not addicted
3574,11,30,3,2,72,0,18,9,8,29,addicted
3575,6,26,1,1,66,1,24,6,4,28,addicted
3576,5,28,0,1,73,1,43,6,4,21,addicted
3577,2,24,2,1,73,0,35,6,1,24,not addicted
3578,4,26,1,2,59,0,44,6,3,40,not addicted
3579,1,29,2,1,56,1,52,6,0,30,not addicted
3580,11,36,0,0,63,1,44,8,7,36,addicted
3581,10,30,2,1,76,0,36,3,6,31,addicted
3582,10,31,1,1,76,1,26,5,6,33,addicted
3583,9,28,1,0,45,1,20,9,6,22,not addicted
3584,4,33,2,2,60,1,34,7,3,26,not addicted
3585,7,23,0,1,44,0,26,10,5,23,not addicted
3586,2,25,1,0,57,0,53,9,1,25,not addicted
3587,4,26,0,0,50,1,29,4,3,31,not addicted
3588,2,22,1,1,66,2,38,5,0,24,not addicted
3589,9,24,5,0,59,2,25,4,6,21,addicted
3590,5,30,0,3,53,1,27,6,3,31,not addicted
3591,2,25,2,1,60,0,46,9,1,18,not addicted
3592,9,29,4,0,79,2,33,4,5,37,addicted
3593,11,32,2,3,71,0,19,5,8,34,addicted
3594,5,36,1,2,63,1,44,7,3,30,addicted
3595,10,34,0,1,73,2,29,8,6,35,addicted
3596,5,33,1,1,58,0,22,12,4,30,addicted
3597,10,28,3,1,65,0,28,6,6,27,not addicted
3598,6,26,2,2,52,2,35,5,4,40,not addicted
3599,9,28,1,2,58,1,39,7,6,25,not addicted
3600,7,30,1,0,80,1,41,2,5,35,addicted
3601,5,32,1,1,67,3,32,7,4,29,addicted
3602,11,32,3,1,79,1,40,7,7,25,addicted
3603,11,36,4,1,68,3,33,8,7,36,addicted
3604,3,23,2,0,56,0,49,5,2,25,not addicted
3605,7,44,1,3,65,1,43,7,5,38,addicted
3606,1,33,1,0,45,0,37,4,0,27,not addicted
3607,12,44,0,2,81,3,29,4,9,31,addicted
3608,7,40,1,0,76,0,16,6,5,31,addicted
3609,7,29,1,2,42,0,53,5,5,21,not addicted
3610,3,23,0,1,45,0,45,5,2,28,not addicted
3611,8,25,0,0,49,1,20,8,5,26,not addicted
3612,7,39,1,2,75,0,26,6,5,18,addicted
3613,2,23,3,0,58,2,46,5,1,18,not addicted
3614,8,25,2,1,47,1,38,10,5,19,not addicted
3615,2,30,1,0,48,0,42,6,0,28,not addicted
3616,4,33,3,3,65,2,17,2,3,24,addicted
3617,3,25,0,1,54,1,53,9,2,31,not addicted
3618,2,29,1,1,52,1,35,6,1,25,not addicted
3619,10,25,1,0,55,0,46,5,6,26,not addicted
3620,9,26,3,1,49,2,32,6,6,25,not addicted
3621,4,39,1,2,72,1,18,5,3,26,addicted
3622,4,28,1,0,45,1,47,6,3,19,not addicted
3623,8,28,1,3,74,3,34,5,5,43,addicted
3624,7,28,1,1,60,0,32,1,4,32,not addicted
3625,11,39,2,2,71,0,40,7,8,36,addicted
3626,5,29,2,0,57,1,45,8,4,23,not addicted
3627,3,40,3,3,68,2,17,5,2,35,addicted
3628,4,33,2,1,78,1,40,1,3,27,addicted
3629,10,33,0,2,45,1,47,6,7,23,not addicted
3630,5,32,3,2,74,1,41,4,3,38,addicted
3631,5,34,4,0,71,1,30,3,4,30,addicted
3632,4,18,2,0,60,1,36,9,3,25,not addicted
3633,5,40,1,0,64,3,39,4,3,26,addicted
3634,8,26,1,1,44,0,49,7,5,20,not addicted
3635,9,42,1,3,63,3,38,6,6,34,addicted
3636,4,36,2,1,72,1,32,7,3,28,addicted
3637,5,35,1,2,69,1,40,7,3,27,addicted
3638,2,20,1,1,42,0,22,6,1,33,not addicted
3639,2,28,0,0,51,0,42,5,0,26,not addicted
3640,1,21,0,0,54,0,27,1,0,35,not addicted
3641,9,44,1,2,72,1,30,5,6,24,addicted
3642,3,33,3,1,67,0,41,5,2,36,addicted
3643,12,44,4,1,80,1,16,5,9,32,addicted
3644,10,36,1,0,76,1,16,7,7,25,addicted
3645,3,22,0,1,60,2,20,6,2,22,not addicted
3646,9,17,1,1,60,2,49,8,6,27,not addicted
3647,4,23,1,0,58,1,22,9,3,26,not addicted
3648,3,29,3,4,74,1,19,11,2,29,addicted
3649,10,33,1,1,65,0,30,5,7,40,addicted
3650,3,21,2,1,52,0,32,6,2,19,not addicted
3651,8,30,1,2,59,0,20,3,5,26,not addicted
3652,5,30,2,0,50,1,37,9,3,23,not addicted
3653,10,36,3,1,56,2,41,6,7,34,addicted
3654,3,22,1,2,51,1,22,6,2,23,not addicted
3655,11,37,2,1,77,0,32,6,7,19,addicted
3656,2,25,1,0,52,0,41,12,1,21,not addicted
3657,1,22,0,0,46,0,30,5,0,35,not addicted
3658,6,41,4,0,71,1,26,7,4,31,addicted
3659,11,32,0,1,61,0,25,4,7,32,addicted
3660,3,30,2,1,56,0,39,7,2,25,not addicted
3661,4,26,1,1,62,1,34,9,3,26,not addicted
3662,5,46,1,1,64,1,36,6,3,32,addicted
3663,12,30,2,1,74,3,33,7,8,31,addicted
3664,10,47,2,2,73,2,40,3,6,29,addicted
3665,5,44,3,2,78,2,25,8,4,41,addicted
3666,8,25,0,0,42,2,35,6,5,26,not addicted
3667,2,24,1,1,49,1,22,6,0,20,not addicted
3668,12,24,1,1,62,2,28,4,9,31,addicted
3669,8,20,1,0,43,0,20,7,5,30,not addicted
3670,12,31,4,1,73,2,37,4,8,32,addicted
3671,5,31,4,1,70,2,22,9,3,35,not addicted
3672,9,33,0,2,63,0,31,8,6,14,not addicted
3673,11,24,3,1,68,1,25,7,7,31,addicted
3674,4,26,3,2,62,1,30,6,3,35,addicted
3675,8,16,1,1,42,0,41,8,5,22,not addicted
3676,4,29,1,0,50,0,43,10,3,24,not addicted
3677,1,26,1,1,50,2,44,4,0,20,not addicted
3678,2,30,0,1,30,0,28,10,1,27,not addicted
3679,3,27,0,0,40,0,30,4,2,36,not addicted
3680,1,31,2,1,58,2,38,8,0,30,not addicted
3681,7,20,3,1,53,0,33,6,5,31,not addicted
3682,6,22,1,0,38,0,23,9,4,22,not addicted
3683,10,37,1,0,86,1,20,5,6,37,addicted
3684,12,34,0,1,61,2,15,6,8,25,addicted
3685,5,24,1,0,62,1,23,10,4,30,not addicted
3686,5,41,0,0,66,2,44,9,3,33,addicted
3687,8,23,0,2,61,0,50,10,5,26,not addicted
3688,7,20,1,0,49,1,32,9,4,22,not addicted
3689,9,39,1,1,65,2,20,10,6,33,addicted
3690,12,28,2,1,67,2,20,3,8,25,addicted
3691,8,31,2,1,74,3,37,5,5,21,addicted
3692,8,45,2,3,82,0,29,5,5,27,addicted
3693,8,28,2,0,45,0,22,3,5,29,not addicted
3694,6,24,2,1,53,2,33,3,4,29,not addicted
3695,4,33,0,0,49,0,49,7,3,20,not addicted
3696,10,42,2,2,78,1,18,7,7,27,addicted
3697,4,52,1,3,68,1,20,3,3,28,addicted
3698,6,36,1,2,36,1,45,11,4,19,not addicted
3699,7,30,0,2,75,3,43,3,5,28,addicted
3700,2,21,0,1,70,0,20,3,1,26,not addicted
3701,10,25,1,0,55,1,52,9,6,22,not addicted
3702,7,25,2,1,29,0,52,3,5,27,not addicted
3703,4,30,2,0,44,1,44,8,3,30,not addicted
3704,1,20,2,0,42,2,45,6,0,32,not addicted
3705,6,35,3,0,62,4,37,6,4,36,addicted
3706,11,28,1,3,66,0,37,3,8,28,addicted
3707,5,36,4,1,56,2,35,2,3,18,addicted
3708,12,31,1,0,70,1,31,6,8,19,addicted
3709,8,44,1,1,77,0,17,7,5,31,addicted
3710,5,24,1,0,58,2,42,4,4,23,not addicted
3711,5,33,3,0,67,1,25,4,4,32,addicted
3712,4,40,0,2,67,2,27,5,3,32,addicted
3713,7,32,1,2,86,2,16,7,5,36,addicted
3714,10,35,2,2,78,3,35,9,6,23,addicted
3715,4,42,3,3,64,2,27,6,3,21,addicted
3716,11,39,3,1,72,0,26,6,7,27,addicted
3717,9,26,1,2,54,1,34,11,5,28,not addicted
3718,6,31,3,1,89,2,31,7,4,34,addicted
3719,4,24,1,1,39,2,24,6,3,19,not addicted
3720,3,29,4,1,70,1,20,6,2,32,addicted
3721,12,30,3,1,69,1,34,8,8,33,addicted
3722,3,22,0,1,47,1,42,9,2,30,not addicted
3723,9,25,2,0,50,1,50,6,6,26,not addicted
3724,5,17,0,1,50,2,37,9,4,29,not addicted
3725,3,29,1,2,66,1,38,7,2,21,not addicted
3726,11,37,3,3,80,0,24,5,7,28,addicted
3727,2,25,1,1,42,0,43,9,1,23,not addicted
3728,5,38,2,2,56,2,35,5,4,26,addicted
3729,1,34,0,2,52,1,24,8,0,22,not addicted
3730,5,36,1,0,76,1,30,6,3,34,addicted
3731,7,31,1,1,57,1,41,7,5,26,not addicted
3732,3,24,1,0,50,1,46,8,2,16,not addicted
3733,9,34,1,2,73,2,43,7,6,29,addicted
3734,2,18,0,0,46,1,23,7,0,34,not addicted
3735,6,32,1,0,71,1,25,4,4,30,addicted
3736,9,30,2,0,43,0,50,6,6,15,not addicted
3737,7,23,2,2,53,1,22,6,5,24,not addicted
3738,11,28,2,0,62,0,39,5,8,31,addicted
3739,9,23,2,0,38,1,49,7,6,22,not addicted
3740,2,20,1,2,53,0,33,3,1,26,not addicted
3741,12,36,2,3,78,3,42,10,9,32,addicted
3742,11,36,1,0,72,2,21,2,7,29,addicted
3743,11,39,2,1,82,1,31,4,7,31,addicted
3744,11,23,1,3,63,1,27,4,8,28,addicted
3745,11,27,2,1,60,3,27,6,8,29,addicted
3746,12,27,2,4,63,1,39,6,9,31,addicted
3747,4,31,2,2,62,2,27,4,3,34,addicted
3748,5,26,1,1,64,2,20,10,3,19,not addicted
3749,9,22,0,1,53,0,26,7,6,22,not addicted
3750,4,32,3,2,78,2,39,1,3,30,addicted
3751,4,29,2,1,65,1,28,3,3,31,addicted
3752,11,46,0,1,81,2,41,7,7,34,addicted
3753,4,39,1,3,50,3,16,7,3,34,addicted
3754,5,16,2,0,44,0,27,5,4,22,not addicted
3755,4,26,0,0,53,0,40,5,3,28,not addicted
3756,11,42,1,2,77,0,43,5,7,30,addicted
3757,10,22,1,0,55,2,34,8,6,17,not addicted
3758,12,43,2,2,67,2,22,7,8,31,addicted
3759,8,38,0,3,86,2,21,5,5,34,addicted
3760,6,37,4,2,70,1,40,5,4,27,addicted
3761,11,44,2,2,55,0,41,5,7,30,addicted
3762,3,26,1,1,61,0,20,8,2,19,not addicted
3763,8,37,1,1,70,1,39,8,5,25,addicted
3764,8,37,3,0,49,1,47,5,5,30,not addicted
3765,9,33,0,2,62,2,16,7,6,34,addicted
3766,3,15,1,0,52,0,54,5,2,32,not addicted
3767,12,28,1,3,66,2,41,7,8,32,addicted
3768,10,17,0,2,52,0,38,5,6,20,not addicted
3769,10,34,1,0,60,0,17,5,7,34,addicted
3770,2,29,2,0,50,0,34,3,1,26,not addicted
3771,9,21,0,2,48,2,20,7,6,23,not addicted
3772,4,26,4,0,79,4,23,6,3,23,addicted
